Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory,Price
Battle for Sanskrit: Is Sanskrit Political or Sacred? Oppressive or Liberating? Dead or Alive?,Rajiv Malhotra,"Paperback,– 20 Jan 2017",4.9,132,"There is a new awakening in India that is challenging the ongoing Westernization of the discourse about India. Battle for Sanskrit seeks to alert traditional scholars of Sanskrit and sanskriti - Indian civilization - concerning an important school of thought that has its base in the US and that has started to dominate the discourse on the cultural, social and political aspects of India. The scholars of this field hold that many Sanskrit texts are socially oppressive and serve as political weapons in the hands of the ruling elite; that the sacred aspects need to be refuted; and that Sanskrit has long been dead. The traditional Indian experts would outright reject or at least question these positions. Is each view exclusive of the other, or can there be a bridge between them?",Asian History,"Language, Linguistics & Writing",373
Blockchain Revolution: How the Technology Behind Bitcoin and Other Cryptocurrencies is Changing the World,"Don Tapscott, Alex Tapscott","Paperback,– Import, 14 Jun 2018",3.5,17,"THE DEFINITIVE BOOK ON HOW THE TECHNOLOGY BEHIND BITCOIN AND CRYPTOCURRENCY IS CHANGING THE WORLD.
'Blockchain Revolution is a highly readable introduction to a bamboozling but increasingly important field' - Guardian
Blockchain is the ingeniously simple technology that powers Bitcoin. But it is much more than that, too. It is a public ledger to which everyone has access, but which no single person controls. It allows for companies and individuals to collaborate with an unprecedented degree of trust and transparency. It is cryptographically secure, but fundamentally open. And soon it will be everywhere.
In Blockchain Revolution, Don and Alex Tapscott reveal:
· how this game-changing technology will shape the future of the world economy
· how it will improve everything from healthcare records to online voting, and from insurance claims to artist royalty payments
Brilliantly researched and highly accessible, this is the essential text on the next major paradigm shift. Read it, or be left behind.
-----
'This book has had an enormous impact on the evolution of blockchain in the world' Satya Nadella, CEO, Microsoft

'Spectacular. Mind-blowing in its expansiveness and profundity' Steve Wozniak, co-founder of Apple

'Iconic' Clay Christensen, author of The Innovator's Dilemma
'Occasionally a book comes along that changes the global discourse. This is likely to be one of those books.' Klaus Schwab, Founder and Executive Chairman of the World Economic Forum",Banks & Banking,"Computing, Internet & Digital Media",309
Tai-Pan: The Second Novel of the Asian Saga,James Clavell,"Paperback,– 1 Jul 1999",4.1,4,"Set in the turbulent days of the founding of Hong Kong in the 1840s, Tai-Pan is the story of Dirk Struan, the ruler - the Tai-Pan - of the most powerful trading company in the Far East. He is also a pirate, an opium smuggler, and a master manipulator of men. This is the story of his fight to establish himself and his dynasty as the undisputed masters of the Orient.",Action & Adventure (Books),Action & Adventure,379
"The Art of Shaolin Kung Fu: The Secrets of Kung Fu for Self-Defense, Health, and Enlightenment (Tuttle Martial Arts)",Wong Kiew Kit,"Paperback,– 15 Nov 2002",5.0,3,"The Art of Shaolin Kung Fu is the ultimate guide to Kung Fu, from theory to practical application.

This unique martial arts book, by a renowned Grandmaster, is a complete and comprehensive introduction to Kung Fu and all other aspects of ancient Shaolin wisdom. You will learn the ancient art of the Shaolin monks from the famous Shaolin monastery. It will prove invaluable to everyone interested in martial arts, chi kung, and meditation, showing how Kung Fu and other Shaolin arts can bring you health, vitality, mental focus, and spiritual joy.

Chapters include:
What is Kung Fu?—Four Aspects of Kung Fu; The Importance of Force Training; Application for Combat and Daily Living; Kung Fu Philosophy for Deeper Understanding; The Benefits of Kung Fu
The Historical Development of Chinese Martial Arts—Kung Fu in Prehistoric and Ancient Times; The Glorious Han and Tang; The Modern Period
From Shaolin to Taijiquan—Shaolin Kung Fu; The Various Styles of Taijiquan; Soft and Hard, Internal and External
A Comparative Study of Kung Fu—Contrasting Shaolin and Wudang Kung Fu; Xingyi Kung Fu and Taoist Concepts; Tanglangquan or Praying Mantis Kung Fu; The Spread of Southern Kung Fu
Defining Aims and Objectives—Setting Aims for Kung Fu Training; Personal Objectives; Course Objectives
The Foundation of Shaolin Kung Fu—Inheritance from Past Masters; Various Shaolin Hand Forms; Basic Shaolin Patterns
From Form to Combat Application—The Four Directions of Attack; The Principles of Effective Combat; Specific Techniques Against Kicks
Combat Sequences and Set Practice—Relieving Injuries Sustained in Sparring; Composing Your Own Kung Fu Sets
Shaolin Five Animals—Understanding Characteristics and Essence; The Five-Animal Set; The Names of the Five-Animal Patterns
Five-Animal Combination Set—How to Improve Combat Efficiency; Spacing and Timing in Combat
The Internal Force of Shaolin Kung Fu—The Relationship Between Technique and Force; The Compassionate Art of Qin-Na; The Internal Force of Tiger Claw
Tactics and Strategies—Using Continuous Attack Effectively; A Tactic to Distract Your Opponent; Selecting Strategies to Suit Particular Situations
Classical Kung Fu Weapons—Staffs; Whips, Knives and Other Weapons; Light and Heavy Weapons
Understanding and Developing Chi—The Various Genres of Chi Kung; Lohan Embracing Buddha; Abdominal Breathing
Shaolin Kung Fu and Zen—Culitvating Heart, Nourishing Nature; Bodhidharma and Taoism in Zen
The Shaolin Way to Enlightenment—Attaining a Focused Mind; Meditation to Train Awareness; Shaolin Kung Fu for Spiritual Development",Asian History,Sports,1066
Anil's Ghost,Michael Ondaatje,"Paperback,– 1 Sep 2011",3.8,5,"Anil's Ghost transports us to Sri Lanka, a country steeped in centuries of tradition, now forced into the late twentieth century by the ravages of a bloody civil war. Enter Anil Tissera, a young woman and forensic anthropologist born in Sri Lanka but educted in the West, sent by an international human rights group to identify the victims of the murder campaigns sweeping the island.

When Anil discovers that the bones found in an ancient burial site are in fact those of a much more recent victim, her search for the terrible truth hidden in her homeland begins. What follows is a story about love, about family, about identity - a story driven by a riventing mystery.",Action & Adventure (Books),Romance,381.22
Superman: An Origin Story (DC Comics Super Heroes),Matthew K Manning,"Paperback,– 26 Feb 2015",5.0,2,"One day, an alien orphan crash-lands on Earth and is adopted by a human couple, the Kents. Many years later, that little baby becomes Superman, protector of Earth! But how did the Man of Steel go from orphan to super hero? Experience Clark Kent's incredible journey in this action-packed chapter book for early readers featuring vibrant art by DC Comics illustrators.",Comics & Mangas (Books),Comics & Mangas,287
My First Book of London,"Charlotte Guillain, Roland Dry","Hardcover,– 8 Mar 2018",5.0,1,"London is one of the most exciting cities in the world! But if you are a young visitor where should you go and what should you look out for?
Go for a ride on the London Eye, watch street performer spectacles at Covent Garden and stand under a life-sized model of a blue whale at the Natural History Museum. In this revised and updated edition of the much-loved My First Book of London, a fun question-and-answer format introduces young readers to the famous sights of this fascinating city. Stunning illustrations bring each feature to life and provide an ideal way for your child to learn about London and the fun of exploring it!",Children's Mysteries & Curiosities (Books),"Crime, Thriller & Mystery",162
"Naruto: Itachi's Story, Vol. 1: Daylight",Takashi Yano,"Paperback,– 1 Nov 2016",4.9,23,"A new series of prose novels, straight from the worldwide Naruto franchise. Naruto’s allies and enemies take center stage in these fast-paced adventures, with each volume focusing on a particular clan mate, ally, team…or villain.

Uchiha Itachi, four years of age. With the hell of war burned into his eyes, the boy makes a resolution: he will rid this world of all violence. The birth of Sasuke, meeting his friend Shisui, the academy, genin, chunin, and then the Anbu—Itachi races down the path of glory toward his dream of becoming the first Uchiha Hokage, unaware of the darkness that lies ahead… ",Mangas,Comics & Mangas,587
The Story of Philosophy,Will Durant,"Mass Market Paperback,– 1 Jan 1991",4.5,76,"A brilliant and concise account of the lives and ideas of the great philosophers—Plato, Aristotle, Bacon, Spinoza, Voltaire, Kant, Schopenhauer, Spencer, Nietzsche, Bergson, Croce, Russell, Santayana, James, and Dewey—The Story of Philosophy is one of the great books of our time. Few write for the non-specialist as well as Will Durant, and this book is a splendid example of his eminently readable scholarship. Durant’s insight and wit never cease to dazzle; The Story of Philosophy is a key book for any reader who wishes to survey the history and development of philosophical ideas in the Western world.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",291
"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D.B. Meysman, Mohamed Ali","Paperback,– 2016",4.3,5,"Introducing Data Science explains vital data science concepts and teaches you how to accomplish the fundamental tasks that occupy data scientists. You’ll explore data visualization, graph databases, the use of NoSQL, and the data science process. You’ll use the Python language and common Python libraries as you experience firsthand the challenges of dealing with data at scale. Discover how Python allows you to gain insights from data sets so big that they need to be stored on multiple machines, or from data moving so quickly that no single machine can handle it.",Artificial Intelligence,"Computing, Internet & Digital Media",352
The Travelling Cat Chronicles,Hiro Arikawa,"Hardcover,– 24 Nov 2018",4.9,10,"A stunning hardback edition of this surprise hit - perfect for Christmas gifting.
Recommended By Thousands of International Readers - the tender feelgood story of a man's journey around Japan with a streetcat. Translated by Philip Gabriel, a translator of Murakami.
Includes Specially Commissioned Line-Drawings
A Watersones Paperback of The Year 2017
'Anyone who has ever unashamedly loved an animal will read this book with gratitude, for its understanding of an emotion that ennobles us as human beings, whether we value it or not 'Lynne Truss, Guardian
‘Bewitching as self-possessed and comforting as – well, a cat’ Sunday Telegraph
It's not the journey that counts, but who's at your side.
Nana is on a road trip, but he is not sure where he is going. All that matters is that he can sit beside his beloved owner Satoru in the front seat of his silver van. Satoru is keen to visit three old friends from his youth, though Nana doesn’t know why and Satoru won’t say.
Set against the backdrop of Japan’s changing seasons and narrated with a rare gentleness and humour, Nana’s story explores the wonder and thrill of life’s unexpected detours. It is about the value of friendship and solitude and knowing when to give and when to take. Travelling Cat has already demonstrated its power to move thousands of readers with a message of kindness and truth. It shows, above all, how acts of love, both great and small, can transform our lives.
'Arikawa has a lightness of touch that elevates her story to a tale about loyalty and friendship while speaking to our basic human need for companionship' john Boyne, Irish Times
‘It has the warmth, painterly touch and tenderness of a Studio Ghibli film – and it is a delight to read’ Financial Times
'A delightful tale of loyalty and friendship' John Boyne, Irish Times.",Action & Adventure (Books),Action & Adventure,339
Messi: Updated Edition (Luca Caioli),Luca Caioli,"Paperback,– Import, 4 Oct 2018",5.0,2,"FROM THE BESTSELLING AUTHOR OF RONALDO AND NEYMAR Prolific, cool-headed and unerringly consistent, Lionel Messi is one of the most revered footballers in history. But did you know that his transfer to Barcelona was first agreed on a paper napkin? Or that an x-ray of his hand was to thank for identifying his growth hormone deficiency? And do you know why he refused to collect his first ever Champions League winner's medal? Find out all this and more in Luca Caioli's classic portrait of a footballing icon, featuring exclusive interviews with those who know him best and even Messi himself. Includes all the action from the 2017/18 season and the 2018 World Cup",Biographies & Autobiographies (Books),Sports,309
The Dark Arena,Mario Puzo,"Paperback,– 5 Jul 2012",3.1,2,"MARIO PUZO'S FIRST ACCLAIMED NOVEL, BEFORE HIS CREATION OF THE INTERNATIONAL BESTSELLER, THE GODFATHER. AN ASTOUNDING STORY OF CORRUPTION AND BETRAYAL.

Hardened by the brutality and desceration of three long years of war, Walter Mosca returns to America a changed man. But he has no sooner arrived than he knows he must run back to the land of the enemy, to find the woman who accepts the rage and cruelty of the world around her.

In Germany, where the bitter aftermath of war is everything apparent, American cigarettes will buy almost anything. Mosca now faces a different kind of war, one in which he must make a fateful decision - between love and ambition, passion and greed, life and death...",Action & Adventure (Books),Action & Adventure,262
"Sap Fico Beginner's Handbook: Step By Step Acreenshots Guided Handholding Approach to Learning, SAP for Dummies, SAP Books: Volume 1 (SAP FICO BOOKS)",Murugesan Ramaswamy,"Paperback,– 1 Nov 2014",3.1,10,"Step by Step Screenshots Guided Handholding Approach to Learning
Explaining FI, CO Modules & Concepts to guide Consultants, Users, End Users gain confidence, get comfortable with and improve productivity using SAP FICO. Beginners who are in their First & Second year of career with SAP FICO will find this book beneficial the most.
How the Chapters are arranged
CHAPTER I - Helps YOU begin using SAP FICO on a strong note.
CHAPTER II - Grasp the concepts for a theoretical foundation on which SAP FICO is designed and built.
CHAPTERS III & IV - Get introduced to Transaction Codes & Standard Reports in SAP FICO.
CHAPTER V - Navigation in SAP FICO put YOU at complete ease with SAP Navigation and a strong footing to move forward confidently.
CHAPTERS VI & VII - Essential SAP Tips & Layout make YOURSAP FICO experience, a pleasure.
CHAPTER VIII - How YOU can work with Standard Reports.
CHAPTERS IX, X & XI - Experience authority in using Standard Reports.
Topics Covered
Chapter I Navigation in SAP (Part  I)
Chapter II Concepts
Chapter III Data Entry
Chapter IV Standard Reports in FICO
Chapter V Navigation in SAP  (Part II)
Chapter VI SAP Tips & Tricks
Chapter VII Customizing SAP Layout
Chapter VIII Report Parameter Selections
Chapter IX List Functions
Chapter X ABC Analysis
Chapter XI Extract Management
Begin your journey with this book to understand and optimize using SAP FICO to take your career to greater heights.",Software & Business Applications (Books),"Computing, Internet & Digital Media",607
German Grammar You Really Need To Know: Teach Yourself,Jenny Russ,"Paperback,– 31 Aug 2012",4.8,9,"Comprehensive and clear explanations of key grammar patterns and structures are reinforced and contextualized through authentic materials. You will not only learn how to construct grammar correctly, but when and where to use it so you sound natural and appropriate. German Grammar You Really Need to Know will help you gain the intuition you need to become a confident communicator in your new language.",German,"Language, Linguistics & Writing",536
Stealth of Nations: The Global Rise of the Informal Economy,Robert Neuwirth,"Hardcover,– Deckle Edge, 18 Oct 2011",4.0,1,"• Thousands of Africans head to China each year to buy cell phones, auto parts, and other products that they will import to their home countries through a clandestine global back channel.
 
• Hundreds of Paraguayan merchants smuggle computers, electronics, and clothing across the border to Brazil.
 
• Scores of laid-off San Franciscans, working without any licenses, use Twitter to sell home-cooked foods.
 
• Dozens of major multinationals sell products through unregistered kiosks and street vendors around the world.
 
When we think of the informal economy, we tend to think of crime: prostitution, gun running, drug trafficking. Stealth of Nations opens up this underground realm, showing how the worldwide informal economy deals mostly in legal products and is, in fact, a ten-trillion-dollar industry, making it the second-largest economy in the world, after that of the United States.
 
Having penetrated this closed world and persuaded its inhabitants to open up to him, Robert Neuwirth makes clear that this informal method of transaction dates back as far as humans have existed and traded, that it provides essential services and crucial employment that fill the gaps in formal systems, and that this unregulated market works smoothly and effectively, with its own codes and unwritten rules.
 
Combining a vivid travelogue with a firm grasp on global economic strategy—along with a healthy dose of irreverence and skepticism toward conventional perceptions—Neuwirth gives us an eye-opening account of a world that is always operating around us, hidden in plain sight.",International Business,Politics,621
Fixed!: Cash and Corruption in Cricket,Shantanu Guha Ray,"Paperback,– 1 Mar 2016",4.3,15,"Who killed Hansie Cronje and Bob Woolmer? Have players from the national squad been involved in match-fixing? Is suspending IPL teams punishment enough for erring franchise owners? Should betting be made legal in India as advised by the Lodha Committee? From S. Sreesanth to Chris Cairns, Lalit Modi to N. Srinivasan, Hamid Cassim to Tinku Mandi, Shantanu Guha Ray examines the allegations of corruption against players, cricket administrators and bookies alike. He interviews the myriad people who linger in the shadows of players' dressing rooms - the middle men, agents, 'friends' of IPL franchise owners - placing bets on games and enticing cricketers to reveal inside information for money, sex or, worse, fear for their lives. Also under the spotlight are the roles of the police and the government, who have, at best, made patchy efforts to stem the rot. Fixed!: Cash and Corruption in Cricket is an incisive, unflinching look at the underbelly of what once used to be a gentleman's game.",Cricket (Books),Sports,286.98
The Buddha Box Set,Osamu Tezuka,"Paperback,– Box set, 15 Jun 2014",4.3,34,"The classic eight volume graphic novel series from the godfather of the genre an irreverent and humourous rendition of the life and times of Buddha is now available in Box Set. Originated in the 1970s, Buddha is Osamu Tezuka's unparalleled rendition of the life and times of Prince Siddhartha. Tezuka's storytelling genius and consummate skill at visual expression blossom fully as he contextualizes the Buddha's ideas, with an emphasis on action, emotion, humour and conflict as Prince Siddhartha runs away from home, travels across India and questions Hindu practices such as ascetic self-mutilation and caste oppression. Rather than recommend resignation and impassivity, Tezuka's Buddha predicates enlightenment upon recognizing the interconnectedness of life, having compassion for the suffering and ordering one's life sensibly. Furthermore, his approach is slightly irreverent in that it incorporates something that Western commentators often eschew, namely, humour.
The Box Set includes
Buddha: Kapilvastu - Vol. 1
Buddha: The Four Encounters - Vol. 2
Buddha: Devadatta - Vol. 3
Buddha: The Forest of Uruvela - Vol. 4
Buddha: Deer Park - Vol. 5
Buddha: Ananda - Vol. 6
Buddha: Prince Ajatasattu - Vol. 7
Buddha: Jetavana - Vol. 8",Comics & Graphic Novels (Books),Comics & Mangas,3779
30 Years of WrestleMania (Wwe),Brian Shields,"Hardcover,– 15 Sep 2014",5.0,17,"From the creators of WWE 50 and the official WWE Encyclopedia, 30 Years of WrestleMania gives you an in-depth, behind-the-scenes look at the show of shows from its inception to the current day. Relive each exciting match with detailed information, exclusive interviews, never-before-seen shots, and much more!
The history of each WrestleMania, from both sides of the curtain
Special tributes to Undertaker's Streak, Mr. WrestleMania, records, stats & more
Stories from influential figures, including Vince McMahon, Hulk Hogan, Bret Hart & others
Behind the scenes photos and anecdotes
Artifacts such as tickets, VIP passes, programs, promotional items and other unique surprises
Coverage of all the definitive Superstars and celebrities
Foreward by ""Mr. WrestleMania"" Shawn Michaels
Exclusive Topps collectible trading card featuring the Undertaker
One of five exclusive collectible bookmarks
Whether you've never missed a 'Mania or you are new to WWE, 30 Years of WrestleMania is guaranteed to enhance your fanhood and enrich your enjoyment of the WWE's annual worldwide phenomenon.",PC & Video Games (Books),Sports,802
"Memories, Dreams, Reflections (Vintage)","C. G. Jung, Aniela Jaffe, Clara Winston, Richard Winston","Paperback,– 23 Apr 1989",5.0,9,"An eye-opening biography of one of the most influential psychiatrists of the modern age, drawing from his lectures, conversations, and own writings.

In the spring of 1957, when he was eighty-one years old, Carl Gustav Jung undertook the telling of his life story. Memories, Dreams, Reflections is that book, composed of conversations with his colleague and friend Aniela Jaffé, as well as chapters written in his own hand, and other materials. Jung continued to work on the final stages of the manuscript until shortly before his death on June 6, 1961, making this a uniquely comprehensive reflection on a remarkable life. Fully corrected, this edition also includes Jung's VII Sermones ad Mortuos.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts",588.26
The Hit (Will Robie series),David Baldacci,"Paperback,– 21 Nov 2013",4.0,32,"The Hit is David Baldacci's blockbuster follow up to The Innocent, the smash-hit bestseller featuring U.S. government assassin, Will Robie. When government hit man Will Robie is given his next target he knows he's about to embark on his toughest mission yet. He is tasked with killing one of their own, following evidence to suggest that fellow assassin Jessica Reel has been turned. She's leaving a trail of death in her wake including her handler. The trap is set. To send a killer to catch a killer. But what happens when you can't trust those who have access to the nation's most secret intelligence? The Hit is the second thriller in the Will Robie series by David Baldacci, preceding The Target.",Contemporary Fiction (Books),"Crime, Thriller & Mystery",340
"The Archer Files: The Complete Short Stories of Lew Archer, Private Investigator (Lew Archer Series)","Ross Macdonald, Tom Nolan","Paperback,– 21 Jul 2015",3.9,2,"No matter what cases private eye Lew Archer takes on—a burglary, a runaway, or a disappeared person—the trail always leads to tangled family secrets and murder. Widely considered the heir to Sam Spade and Philip Marlowe, Archer dug up secrets and bodies in and around Los Angeles. 

Here, The Archer Files collects all the Lew Archer short stories ever published, along with thirteen unpublished “case notes” and a fascinating biographical profile of Archer by Edgar Award finalist Tom Nolan. Ross Macdonald’s signature staccato prose is the real star throughout this collection, which is both a perfect introduction for the newcomer and a must-have for the Macdonald aficionado.",Short Stories (Books),Humour,799
Light on Life (Arkana),Hart Defouw,"Paperback,– 14 Oct 2000",4.4,49,"Light on Life brings the insight and wisdom of Indian astrology to the Western reader. Jyotish or Indian astrology is an ancient and complex method of exploring the nature of time and space and its effect upon the individual. Formerly a closed book to the West, the subject has now been clarified and explained by Hart deFouw and Robert Svoboda, two experts and long-term practitioners. In Light on Life they have created a complete and thorough handbook that can be appreciated and understood by those with very little knowledge of astrology. Jyotish states that by considering the state of the cosmos when an event occurs, we can begin to understand its nature- and to prepare an appropriate response. Although there are similarities with Western astrology there are also profound differences. Jyotish is, above all, infused with the religious, psychological and physical spirit of India. This comprehensive and enlightening book on the subject will prove a necessity to every astrologer or student of Indian thought.",Astrology,"Biographies, Diaries & True Accounts",395.1
